ZCTA5,ZCTA5_Merge
06020,06019
06059,06063
06160,06105
06856,06850
07495,07430
07870,07840
07961,07932
08890,08873
10020,10019
10041,10004
10045,10038
10080,10280
10103,10019
10104,10019
10105,10019
10106,10019
10107,10019
10110,10036
10111,10019
10112,10019
10115,10027
10117,10001
10118,10001
10119,10001
10120,10001
10121,10001
10122,10001
10123,10001
10152,10022
10153,10022
10154,10022
10155,10022
10158,10016
10165,10017
10166,10017
10167,10017
10168,10017
10169,10017
10170,10017
10171,10017
10172,10017
10173,10017
10174,10017
10176,10017
10177,10017
10178,10017
10179,10017
10199,10001
10271,10005
10278,10007
10279,10007
10281,10280
10285,10280
10286,10007
10311,10314
10911,10922
11042,11040
11245,11201
11249,11211
11351,11357
11359,11360
11451,11433
11424,11415
11425,11209
12784,12779
18016,18018
18068,18092
18105,18102
18195,18106
18935,18951
18936,19454
19442,19460
19477,19002
19519,19518
19538,19530
19542,19508
